name,kcal,prot,fat,carb
Salmão sem pele fresco cru,170,19.30,9.70,0.00
Salmão sem pele fresco grelhado,243,26.10,14.50,0.00
Sardinha assada,164,32.20,3.00,0.00
Sardinha conserva em óleo,285,15.90,24.00,0.00
Sardinha frita,257,33.40,12.70,0.00
Sardinha inteira crua,114,21.10,2.70,0.00
Tucunaré filé congelado cru,88,18.00,1.20,0.00
Apresuntado,129,13.50,6.70,2.90
Carne bovina acém moído cozido,212,26.70,10.90,0.00
Carne bovina acém moído cru,137,19.40,5.90,0.00
Carne bovina acém sem gordura cozido,215,27.30,10.90,0.00
Carne bovina acém sem gordura cru,144,20.80,6.10,0.00
Carne bovina almôndegas cruas,189,12.30,11.20,9.80
Carne bovina almôndegas fritas,272,18.20,15.80,14.30
Carne bovina bucho cozido,133,21.60,4.50,0.00
Carne bovina bucho cru,137,20.50,5.50,0.00
Carne bovina capa de contra-filé com gordura crua,217,19.20,15.00,0.00
Carne bovina capa de contra-filé com gordura grelhada,312,30.70,20.00,0.00
Carne bovina capa de contra-filé sem gordura crua,131,21.50,4.30,0.00
Carne bovina capa de contra-filé sem gordura grelhada,239,35.10,10.00,0.00
Carne bovina charque cozido,263,36.40,11.90,0.00
Carne bovina charque cru,249,22.70,16.80,0.00
Carne bovina contra-filé à milanesa,352,20.60,24.00,12.20
Carne bovina contra-filé de costela cru,202,19.80,13.10,0.00
Carne bovina contra-filé de costela grelhado,275,29.90,16.30,0.00
Carne bovina contra-filé com gordura cru,206,21.20,12.80,0.00
Carne bovina contra-filé com gordura grelhado,278,32.40,15.50,0.00
Carne bovina contra-filé sem gordura cru,157,24.00,6.00,0.00
Carne bovina contra-filé sem gordura grelhado,194,35.90,4.50,0.00
Carne bovina costela assada,373,28.80,27.70,0.00
Carne bovina costela crua,358,16.70,31.80,0.00
Carne bovina coxão duro sem gordura cozido,217,31.90,8.90,0.00
Carne bovina coxão duro sem gordura cru,148,21.50,6.20,0.00
Carne bovina coxão mole sem gordura cozido,219,32.40,8.90,0.00
Carne bovina coxão mole sem gordura cru,169,21.20,8.70,0.00
Carne bovina cupim assado,330,28.60,23.00,0.00
Carne bovina cupim cru,221,19.50,15.30,0.00
Carne bovina fígado cru,141,20.70,5.40,1.10
Carne bovina fígado grelhado,225,29.90,9.00,4.20
Carne bovina filé mingnon sem gordura cru,143,21.60,5.60,0.00
Carne bovina filé mingnon sem gordura grelhado,220,32.80,8.80,0.00
Carne bovina flanco sem gordura cozido,196,29.40,7.80,0.00
Carne bovina flanco sem gordura cru,141,20.00,6.20,0.00
Carne bovina fraldinha com gordura cozida,338,24.20,26.00,0.00
Carne bovina fraldinha com gordura crua,221,17.60,16.10,0.00
Carne bovina lagarto cozido,222,32.90,9.10,0.00
Carne bovina lagarto cru,135,20.50,5.20,0.00
Carne bovina língua cozida,315,21.40,24.80,0.00
Carne bovina língua crua,215,17.10,15.80,0.00
Carne bovina maminha crua,153,20.90,7.00,0.00
Carne bovina maminha grelhada,153,30.70,2.40,0.00
Carne bovina miolo de alcatra sem gordura cru,163,21.60,7.80,0.00
Carne bovina miolo de alcatra sem gordura grelhado,241,31.90,11.60,0.00
Carne bovina músculo sem gordura cozido,194,31.20,6.70,0.00
Carne bovina músculo sem gordura cru,142,21.60,5.50,0.00
Carne bovina paleta com gordura crua,159,21.40,7.50,0.00
Carne bovina paleta sem gordura cozida,194,29.70,7.40,0.00
Carne bovina paleta sem gordura crua,141,21.00,5.70,0.00
Carne bovina patinho sem gordura cru,133,21.70,4.50,0.00
Carne bovina patinho sem gordura grelhado,219,35.90,7.30,0.00
Carne bovina peito sem gordura cozido,338,22.20,27.00,0.00
Carne bovina peito sem gordura cru,259,17.60,20.40,0.00
Carne bovina picanha com gordura crua,213,18.80,14.70,0.00
Carne bovina picanha com gordura grelhada,289,26.40,19.50,0.00
Carne bovina picanha sem gordura crua,134,21.30,4.70,0.00
Carne bovina picanha sem gordura grelhada,238,31.90,11.30,0.00
Carne bovina seca cozida,313,26.90,21.90,0.00
Carne bovina seca crua,313,19.70,25.40,0.00
Coxinha de frango frita,283,9.60,11.80,34.50
Croquete de carne cru,246,12.00,15.60,13.90
Croquete de carne frito,347,16.90,22.70,18.10
Empada de frango pré-cozida assada,358,6.90,15.60,47.50
Empada de frango pré-cozida,377,7.30,22.90,35.50
Frango asa com pele crua,213,18.10,15.10,0.00
Frango caipira inteiro com pele cozido,243,23.90,15.60,0.00
Frango caipira inteiro sem pele cozido,196,29.60,7.70,0.00
Frango coração cru,222,12.60,18.60,0.00
Frango coração grelhado,207,22.40,12.10,0.60
Frango coxa com pele assada,215,28.50,10.40,0.10
Frango coxa com pele crua,161,17.10,9.80,0.00
Frango coxa sem pele cozida,167,26.90,5.80,0.00
Frango coxa sem pele crua,120,17.80,4.90,0.00
Frango fígado cru,106,17.60,3.50,0.00
Frango filé à milanesa,221,28.50,7.80,7.50
Frango inteiro com pele cru,226,16.40,17.30,0.00
Frango inteiro sem pele assado,187,28.00,7.50,0.00
Frango inteiro sem pele cozido,170,25.00,7.10,0.00
Frango inteiro sem pele cru,129,20.60,4.60,0.00
Frango peito com pele assado,212,33.40,7.60,0.00
Frango peito com pele cru,149,20.80,6.70,0.00
Frango peito sem pele cozido,163,31.50,3.20,0.00
Frango peito sem pele cru,119,21.50,3.00,0.00
Frango peito sem pele grelhado,159,32.00,2.50,0.00
Frango sobrecoxa com pele assada,260,28.70,15.20,0.00
Frango sobrecoxa com pele crua,255,15.50,20.90,0.00
Frango sobrecoxa sem pele assada,233,29.20,12.00,0.00
Frango sobrecoxa sem pele crua,162,17.60,9.60,0.00
Hambúrguer bovino cru,215,13.20,16.20,4.20
Hambúrguer bovino frito,258,20.00,17.00,6.30
Hambúrguer bovino grelhado,210,13.20,12.40,11.30
Lingüiça frango crua,218,14.20,17.40,0.00
Lingüiça frango frita,245,18.30,18.50,0.00
Lingüiça frango grelhada,244,18.20,18.40,0.00
Lingüiça porco crua,227,16.10,17.60,0.00
Lingüiça porco frita,280,20.50,21.30,0.00
Lingüiça porco grelhada,296,23.20,21.90,0.00
Mortadela,269,12.00,21.60,5.80
Peru congelado assado,163,26.20,5.70,0.00
Peru congelado cru,94,18.10,1.80,0.00
Porco bisteca crua,164,21.50,8.00,0.00
Porco bisteca frita,311,33.70,18.50,0.00
Porco bisteca grelhada,280,28.90,17.40,0.00
Porco costela assada,402,30.20,30.30,0.00
Porco costela crua,256,18.00,19.80,0.00
Porco lombo assado,210,35.70,6.40,0.00
Porco lombo cru,176,22.60,8.80,0.00
Porco orelha salgada crua,258,18.50,19.90,0.00
Porco pernil assado,262,32.10,13.90,0.00
Porco pernil cru,186,20.10,11.10,0.00
Porco rabo salgado cru,377,15.60,34.50,0.00
Presunto com capa de gordura,128,14.40,6.80,1.40
Presunto sem capa de gordura,94,14.30,2.70,2.10
Quibe assado,136,14.60,2.70,12.90
Quibe cru,109,12.40,1.70,10.80
Quibe frito,254,14.90,15.80,12.30
Salame,398,25.80,30.60,2.90
Toucinho cru,593,11.50,60.30,0.00
Toucinho frito,697,27.30,64.30,0.00
Bebida láctea pêssego,55,2.10,1.90,7.60
Creme de Leite,221,1.50,22.50,4.50
Iogurte natural,51,4.10,3.00,1.90
Iogurte natural desnatado,41,3.80,0.30,5.80
Iogurte sabor morango,70,2.70,2.30,9.70
Leite condensado,313,7.70,6.70,57.00
Leite de cabra,66,3.10,3.80,5.20
Leite de vaca achocolatado,83,2.10,2.20,14.20
Leite de vaca desnatado pó,362,34.70,0.90,53.00
Leite de vaca desnatado UHT,32,3.00,0.00,5.00
Leite de vaca integral,59,3.00,6.00,5.00
Leite de vaca integral pó,497,25.40,26.90,39.20
Leite fermentado,70,1.90,0.10,15.70
Queijo minas frescal,264,17.40,20.20,3.20
Queijo minas meia cura,321,21.20,24.60,3.60
Queijo mozarela,330,22.60,25.20,3.00
Queijo parmesão,453,35.60,33.50,1.70
Queijo pasteurizado,303,9.40,27.40,5.70
Queijo petit suisse morango,121,5.80,2.80,18.50
Queijo prato,360,22.70,29.10,1.90
Queijo requeijão cremoso,257,9.60,23.40,2.40
Queijo ricota,140,12.60,8.10,3.80
Bebida isotônica sabores variados,26,0.00,0.00,6.40
Cana caldo de,65,0.00,0.00,18.20
Coco água de,22,0.00,0.00,5.30
Refrigerante tipo água tônica,31,0.00,0.00,8.00
Refrigerante tipo cola,34,0.00,0.00,8.70
Refrigerante tipo guaraná,39,0.00,0.00,10.00
Refrigerante tipo laranja,46,0.00,0.00,11.80
Refrigerante tipo limão,40,0.00,0.00,10.30
Omelete de queijo,268,15.60,22.00,0.40
Ovo de codorna inteiro cru,177,13.70,12.70,0.80
Ovo de galinha clara cozida/10minutos,59,13.40,0.10,0.00
Ovo de galinha gema cozida/10minutos,353,15.90,30.80,1.60
Ovo de galinha inteiro cozido/10minutos,146,13.30,9.50,0.60
Ovo de galinha inteiro cru,143,13.00,8.90,1.60
Ovo de galinha inteiro frito,240,15.60,18.60,1.20
Achocolatado pó,401,4.20,2.20,91.20
Açúcar mascavo,369,0.80,0.10,94.50
Açúcar refinado,387,0.30,0.00,99.50
Chocolate ao leite,540,7.20,30.30,59.60
Chocolate ao leite com castanha do Pará,559,7.40,34.20,55.40
Chocolate ao leite dietético,557,6.90,33.80,56.30
Chocolate meio amargo,475,4.90,29.90,62.40
Cocada branca,449,1.10,13.60,81.40
Doce de abóbora cremoso,199,0.90,0.20,54.60
Doce de leite cremoso,306,5.50,6.00,59.50
Geléia mocotó natural,106,2.10,0.10,24.20
Glicose de milho,292,0.00,0.00,79.40
Maria mole,301,3.80,0.20,73.60
Maria mole coco queimado,307,3.90,0.10,75.10
Marmelada,257,0.40,0.10,70.80
Mel de abelha,309,0.00,0.00,84.00
Melado,297,0.00,0.00,76.60
Quindim,411,4.70,24.40,46.30
Rapadura,352,1.00,0.10,90.80
Gelatina sabores variados pó,380,8.90,0.00,89.20
Azeitona preta conserva,194,1.20,20.30,5.50
Azeitona verde conserva,137,0.90,14.20,4.10
Chantilly spray com gordura vegetal,315,0.50,27.30,16.90
Leite de coco,166,1.00,18.40,2.20
Maionese tradicional com ovos,302,0.60,30.50,7.90
Acarajé,289,8.30,19.90,19.10
Arroz carreteiro,154,10.80,7.10,11.60
Baião de dois arroz e feijão-de-corda,136,6.20,3.20,20.40
Barreado,165,18.30,9.50,0.20
Bife à cavalo com contra filé,291,23.70,21.10,0.00
Bolinho de arroz,274,8.00,8.30,41.70
Camarão à baiana,101,7.90,6.00,3.20
Charuto de repolho,78,6.80,1.10,10.10
Cuscuz de milho cozido com sal,113,2.20,0.70,25.30
Cuscuz paulista,142,2.60,4.60,22.50
Cuxá molho,80,5.60,3.60,5.70
Dobradinha,125,19.80,4.40,0.00
Estrogonofe de carne,173,15.00,10.80,3.00
Estrogonofe de frango,157,17.60,8.00,2.60
Feijão tropeiro mineiro,152,10.20,6.80,19.60
Feijoada,117,8.70,6.50,11.60
Frango com açafrão,113,9.70,6.20,4.10
Macarrão molho bolognesa,120,4.90,0.90,22.50
Maniçoba,134,10.00,8.70,3.40
Quibebe,86,8.60,2.70,6.60
Salada de legumes com maionese,96,1.10,7.00,8.90
Salada de legumes cozida no vapor,35,2.00,0.30,7.10
Salpicão de frango,148,13.90,7.80,4.60
Sarapatel,123,18.50,4.40,1.10
Tabule,57,2.00,1.20,10.60
Tacacá,47,7.00,0.40,3.40
Tapioca com manteiga,348,0.10,10.90,63.60
Tucupi com pimenta-de-cheiro,27,2.10,0.30,4.70
Vaca atolada,145,5.10,9.30,10.10
Vatapá,255,6.00,23.20,9.70
Virado à paulista,307,10.20,25.60,14.10
Yakisoba,113,7.50,2.60,18.30
Amendoim grão cru,544,27.20,43.90,20.30
Amendoim torrado salgado,606,22.50,54.00,18.70
Ervilha em vagem,88,7.50,0.50,14.20
Ervilha enlatada drenada,74,4.60,0.40,13.40
Feijão carioca cozido,76,4.80,0.50,13.60
Feijão carioca cru,329,20.00,1.30,61.20
Feijão fradinho cozido,78,5.10,0.60,13.50
Feijão fradinho cru,339,20.20,2.40,61.20
Feijão jalo cozido,93,6.10,0.50,16.50
Feijão jalo cru,328,20.10,0.90,61.50
Feijão preto cozido,77,4.50,0.50,14.00
Feijão preto cru,324,21.30,1.20,58.80
Feijão rajado cozido,85,5.50,0.40,15.30
Feijão rajado cru,326,17.30,1.20,62.90
Feijão rosinha cozido,68,4.50,0.50,11.80
Feijão rosinha cru,337,20.90,1.30,62.20
Feijão roxo cozido,77,5.70,0.50,12.90
Feijão roxo cru,331,22.20,1.20,60.00
Grão-de-bico cru,355,21.20,5.40,57.90
Guandu cru,344,19.00,2.10,64.00
Lentilha cozida,93,6.30,0.50,16.30
Lentilha crua,339,23.20,0.80,62.00
Paçoca amendoim,487,16.00,26.10,52.40
Pé-de-moleque amendoim,503,13.20,28.00,54.70
Soja farinha,404,36.00,14.60,38.40
Soja extrato solúvel natural fluido,39,2.40,1.60,4.30
Soja extrato solúvel pó,459,35.70,26.20,28.50
Soja queijo (tofu),64,6.60,4.00,2.10
Tremoço cru,381,33.60,10.30,43.80
Tremoço em conserva,121,11.10,3.80,12.40
Amêndoa torrada salgada,581,18.60,47.30,29.50
Castanha-de-caju torrada salgada,570,18.50,46.30,29.10
Castanha-do-Brasil crua,643,14.50,63.50,15.10
Coco cru,406,3.70,42.00,10.40
Farinha de mesocarpo de babaçu crua,329,1.40,0.20,79.20
Gergelim semente,584,21.20,50.40,21.60
Linhaça semente,495,14.10,32.30,43.30
Pinhão cozido,174,3.00,0.70,43.90
Pupunha cozida,219,2.50,12.80,29.60
Noz crua,620,14.00,59.40,18.40